"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2011","Denmark","Albania","Total","Total","Number","17",""
"2011","Denmark","Bosnia and Herzegovina","Total","Total","Number","51",""
"2011","Denmark","Serbia","Total","Total","Number","87",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number","489,422",""
"2011","Germany (until 1990 former territory of the FRG)","Reporting country","Total","Total","Number","89,438",""
"2011","Germany (until 1990 former territory of the FRG)","Foreign country","Total","Total","Number","398,913",""
"2011","Germany (until 1990 former territory of the FRG)","Belgium","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Czechia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Denmark","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Estonia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Ireland","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Greece","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Spain","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","France","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Croatia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Italy","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Cyprus","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Latvia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Hungary","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Austria","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Poland","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Portugal","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Romania","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Slovenia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Slovakia","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Finland","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Sweden","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","United Kingdom","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Norway","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Turkey","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Bosnia and Herzegovina","Total","Total","Number",":",""
"2011","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Number",":",""
"2011","Estonia","Total","Total","Total","Number","3,709",""
"2011","Estonia","Reporting country","Total","Total","Number","2,034",""
"2011","Estonia","Foreign country","Total","Total","Number","1,674",""
"2011","Estonia","Belgium","Total","Total","Number","0",""
"2011","Estonia","Bulgaria","Total","Total","Number","6",""
"2011","Estonia","Czechia","Total","Total","Number","1",""
"2011","Estonia","Denmark","Total","Total","Number","0",""
"2011","Estonia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","8",""
"2011","Estonia","Estonia","Total","Total","Number","2,034",""
"2011","Estonia","Ireland","Total","Total","Number","2",""
"2011","Estonia","Greece","Total","Total","Number","0",""
"2011","Estonia","Spain","Total","Total","Number","0",""
"2011","Estonia","France","Total","Total","Number","1",""
"2011","Estonia","Croatia","Total","Total","Number","0",""
"2011","Estonia","Italy","Total","Total","Number","3",""
"2011","Estonia","Cyprus","Total","Total","Number","0",""
"2011","Estonia","Latvia","Total","Total","Number","14",""
"2011","Estonia","Lithuania","Total","Total","Number","0",""
"2011","Estonia","Luxembourg","Total","Total","Number","0",""
"2011","Estonia","Hungary","Total","Total","Number","0",""
"2011","Estonia","Netherlands","Total","Total","Number","0",""
"2011","Estonia","Austria","Total","Total","Number","0",""
"2011","Estonia","Poland","Total","Total","Number","3",""
"2011","Estonia","Portugal","Total","Total","Number","1",""
"2011","Estonia","Romania","Total","Total","Number","1",""
"2011","Estonia","Slovenia","Total","Total","Number","0",""
"2011","Estonia","Slovakia","Total","Total","Number","0",""
"2011","Estonia","Finland","Total","Total","Number","18",""
"2011","Estonia","Sweden","Total","Total","Number","4",""
"2011","Estonia","United Kingdom","Total","Total","Number","0",""
"2011","Estonia","Norway","Total","Total","Number","2",""
"2011","Estonia","Switzerland","Total","Total","Number","0",""
"2011","Estonia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","1",""
"2011","Estonia","Turkey","Total","Total","Number","18",""
"2011","Estonia","Albania","Total","Total","Number","1",""
"2011","Estonia","Bosnia and Herzegovina","Total","Total","Number","0",""
"2011","Estonia","Serbia","Total","Total","Number","3",""
"2011","Spain","Total","Total","Total","Number",":",""
"2011","Spain","Reporting country","Total","Total","Number",":",""
"2011","Spain","Foreign country","Total","Total","Number",":",""
"2011","Spain","Belgium","Total","Total","Number",":",""
"2011","Spain","Bulgaria","Total","Total","Number",":",""
"2011","Spain","Czechia","Total","Total","Number",":",""
"2011","Spain","Denmark","Total","Total","Number",":",""
"2011","Spain","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2011","Spain","Estonia","Total","Total","Number",":",""
"2011","Spain","Ireland","Total","Total","Number",":",""
"2011","Spain","Greece","Total","Total","Number",":",""
"2011","Spain","Spain","Total","Total","Number",":",""
"2011","Spain","France","Total","Total","Number",":",""
"2011","Spain","Croatia","Total","Total","Number",":",""
"2011","Spain","Italy","Total","Total","Number",":",""
"2011","Spain","Cyprus","Total","Total","Number",":",""
"2011","Spain","Latvia","Total","Total","Number",":",""
"2011","Spain","Lithuania","Total","Total","Number",":",""
"2011","Spain","Luxembourg","Total","Total","Number",":",""
"2011","Spain","Hungary","Total","Total","Number",":",""
"2011","Spain","Netherlands","Total","Total","Number",":",""
"2011","Spain","Austria","Total","Total","Number",":",""
"2011","Spain","Poland","Total","Total","Number",":",""
"2011","Spain","Portugal","Total","Total","Number",":",""
"2011","Spain","Romania","Total","Total","Number",":",""
"2011","Spain","Slovenia","Total","Total","Number",":",""
"2011","Spain","Slovakia","Total","Total","Number",":",""
"2011","Spain","Finland","Total","Total","Number",":",""
"2011","Spain","Sweden","Total","Total","Number",":",""
"2011","Spain","United Kingdom","Total","Total","Number",":",""
"2011","Spain","Norway","Total","Total","Number",":",""
"2011","Spain","Switzerland","Total","Total","Number",":",""
"2011","Spain","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2011","Spain","Turkey","Total","Total","Number",":",""
"2011","Spain","Albania","Total","Total","Number",":",""
"2011","Spain","Bosnia and Herzegovina","Total","Total","Number",":",""
"2011","Spain","Serbia","Total","Total","Number",":",""
"2011","Croatia","Total","Total","Total","Number","8,534",""
"2011","Croatia","Reporting country","Total","Total","Number","4,720",""
"2011","Croatia","Foreign country","Total","Total","Number","3,810","b"
"2011","Croatia","Belgium","Total","Total","Number","7",""
"2011","Croatia","Bulgaria","Total","Total","Number","23",""
"2011","Croatia","Czechia","Total","Total","Number","24",""
"2011","Croatia","Denmark","Total","Total","Number","2",""
"2011","Croatia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","244",""
"2011","Croatia","Estonia","Total","Total","Number","5",""
"2011","Croatia","Ireland","Total","Total","Number","4",""
"2011","Croatia","Greece","Total","Total","Number","4",""
"2011","Croatia","Spain","Total","Total","Number","17",""
"2011","Croatia","France","Total","Total","Number","40",""
"2011","Croatia","Croatia","Total","Total","Number","4,720",""
"2011","Croatia","Italy","Total","Total","Number","129",""
"2011","Croatia","Cyprus","Total","Total","Number","0",""
"2011","Croatia","Latvia","Total","Total","Number","2",""
"2011","Croatia","Lithuania","Total","Total","Number","4",""
"2011","Croatia","Luxembourg","Total","Total","Number","0",""
"2011","Croatia","Hungary","Total","Total","Number","38",""
"2011","Croatia","Netherlands","Total","Total","Number","27",""
"2011","Croatia","Austria","Total","Total","Number","60",""
"2011","Croatia","Poland","Total","Total","Number","34",""
"2011","Croatia","Portugal","Total","Total","Number","7",""
"2011","Croatia","Romania","Total","Total","Number","40",""
"2011","Croatia","Slovenia","Total","Total","Number","215",""
"2011","Croatia","Slovakia","Total","Total","Number","50",""
"2011","Croatia","Finland","Total","Total","Number","5",""
"2011","Croatia","Sweden","Total","Total","Number","21",""
"2011","Croatia","United Kingdom","Total","Total","Number","50",""
"2011","Croatia","Norway","Total","Total","Number","7",""
"2011","Croatia","Switzerland","Total","Total","Number","21",""
"2011","Croatia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","185",""
"2011","Croatia","Turkey","Total","Total","Number","12",""
"2011","Croatia","Albania","Total","Total","Number","6",""
