"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Males","2,407",""
"2011","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Females","2,716",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Total","140",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Males","43",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Females","97",""
"2011","Ireland","Total","Age reached during the year","Total","Number","Total","83,049","b"
"2011","Ireland","Total","Age reached during the year","Total","Number","Males","45,954","b"
"2011","Ireland","Total","Age reached during the year","Total","Number","Females","37,095","b"
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","Total","Number","Total","92,404",""
"2011","Greece","Total","Age reached during the year","Total","Number","Males","58,975",""
"2011","Greece","Total","Age reached during the year","Total","Number","Females","33,429",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Spain","Total","Age reached during the year","Total","Number","Total","409,034",""
"2011","Spain","Total","Age reached during the year","Total","Number","Males","240,971",""
"2011","Spain","Total","Age reached during the year","Total","Number","Females","168,063",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Total","48,829",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Males","25,152",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Females","23,677",""
"2011","Spain","Total","Age reached during the year","From 15 to 64 years","Number","Total","345,130",""
"2011","Spain","Total","Age reached during the year","From 15 to 64 years","Number","Males","209,154",""
"2011","Spain","Total","Age reached during the year","From 15 to 64 years","Number","Females","135,971",""
"2011","Spain","Total","Age reached during the year","65 years or over","Number","Total","15,075",""
"2011","Spain","Total","Age reached during the year","65 years or over","Number","Males","6,665",""
"2011","Spain","Total","Age reached during the year","65 years or over","Number","Females","8,413",""
"2011","France","Total","Age reached during the year","Total","Number","Total","291,594",""
"2011","France","Total","Age reached during the year","Total","Number","Males","149,081",""
"2011","France","Total","Age reached during the year","Total","Number","Females","142,513",""
"2011","France","Total","Age reached during the year","Less than 15 years","Number","Total","14,136",""
"2011","France","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","France","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","France","Total","Age reached during the year","From 15 to 64 years","Number","Total","251,767",""
"2011","France","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","France","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","France","Total","Age reached during the year","65 years or over","Number","Total","25,691",""
"2011","France","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","France","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Croatia","Total","Age reached during the year","Total","Number","Total","12,699",""
"2011","Croatia","Total","Age reached during the year","Total","Number","Males","6,768",""
"2011","Croatia","Total","Age reached during the year","Total","Number","Females","5,931",""
"2011","Croatia","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Croatia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Croatia","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Croatia","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Croatia","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Croatia","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Italy","Total","Age reached during the year","Total","Number","Total","82,461",""
"2011","Italy","Total","Age reached during the year","Total","Number","Males","43,814",""
"2011","Italy","Total","Age reached during the year","Total","Number","Females","38,647",""
"2011","Italy","Total","Age reached during the year","Less than 15 years","Number","Total","13,214",""
"2011","Italy","Total","Age reached during the year","Less than 15 years","Number","Males","6,720",""
"2011","Italy","Total","Age reached during the year","Less than 15 years","Number","Females","6,494",""
"2011","Italy","Total","Age reached during the year","From 15 to 64 years","Number","Total","64,188",""
"2011","Italy","Total","Age reached during the year","From 15 to 64 years","Number","Males","34,636",""
"2011","Italy","Total","Age reached during the year","From 15 to 64 years","Number","Females","29,552",""
"2011","Italy","Total","Age reached during the year","65 years or over","Number","Total","5,059",""
"2011","Italy","Total","Age reached during the year","65 years or over","Number","Males","2,458",""
"2011","Italy","Total","Age reached during the year","65 years or over","Number","Females","2,601",""
"2011","Cyprus","Total","Age reached during the year","Total","Number","Total","4,895",""
"2011","Cyprus","Total","Age reached during the year","Total","Number","Males","2,158",""
"2011","Cyprus","Total","Age reached during the year","Total","Number","Females","2,737",""
"2011","Cyprus","Total","Age reached during the year","Less than 15 years","Number","Total","640",""
"2011","Cyprus","Total","Age reached during the year","Less than 15 years","Number","Males","311",""
"2011","Cyprus","Total","Age reached during the year","Less than 15 years","Number","Females","329",""
"2011","Cyprus","Total","Age reached during the year","From 15 to 64 years","Number","Total","4,127",""
"2011","Cyprus","Total","Age reached during the year","From 15 to 64 years","Number","Males","1,777",""
"2011","Cyprus","Total","Age reached during the year","From 15 to 64 years","Number","Females","2,350",""
"2011","Cyprus","Total","Age reached during the year","65 years or over","Number","Total","128",""
"2011","Cyprus","Total","Age reached during the year","65 years or over","Number","Males","70",""
"2011","Cyprus","Total","Age reached during the year","65 years or over","Number","Females","58",""
"2011","Latvia","Total","Age reached during the year","Total","Number","Total","30,311",""
"2011","Latvia","Total","Age reached during the year","Total","Number","Males","15,218",""
"2011","Latvia","Total","Age reached during the year","Total","Number","Females","15,093",""
"2011","Latvia","Total","Age reached during the year","Less than 15 years","Number","Total","4,156",""
"2011","Latvia","Total","Age reached during the year","Less than 15 years","Number","Males","1,993",""
"2011","Latvia","Total","Age reached during the year","Less than 15 years","Number","Females","2,163",""
"2011","Latvia","Total","Age reached during the year","From 15 to 64 years","Number","Total","25,140",""
"2011","Latvia","Total","Age reached during the year","From 15 to 64 years","Number","Males","12,911",""
"2011","Latvia","Total","Age reached during the year","From 15 to 64 years","Number","Females","12,229",""
"2011","Latvia","Total","Age reached during the year","65 years or over","Number","Total","1,015",""
"2011","Latvia","Total","Age reached during the year","65 years or over","Number","Males","314",""
"2011","Latvia","Total","Age reached during the year","65 years or over","Number","Females","701",""
"2011","Lithuania","Total","Age reached during the year","Total","Number","Total","53,863",""
"2011","Lithuania","Total","Age reached during the year","Total","Number","Males","26,921",""
"2011","Lithuania","Total","Age reached during the year","Total","Number","Females","26,942",""
"2011","Lithuania","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Lithuania","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Lithuania","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Lithuania","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Lithuania","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Lithuania","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Lithuania","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Lithuania","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Lithuania","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Luxembourg","Total","Age reached during the year","Total","Number","Total","9,264",""
"2011","Luxembourg","Total","Age reached during the year","Total","Number","Males","5,098",""
"2011","Luxembourg","Total","Age reached during the year","Total","Number","Females","4,166",""
"2011","Luxembourg","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Luxembourg","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Luxembourg","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Luxembourg","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Luxembourg","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Luxembourg","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Luxembourg","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Luxembourg","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Luxembourg","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Hungary","Total","Age reached during the year","Total","Number","Total","15,100",""
"2011","Hungary","Total","Age reached during the year","Total","Number","Males","8,193",""
"2011","Hungary","Total","Age reached during the year","Total","Number","Females","6,907",""
"2011","Hungary","Total","Age reached during the year","Less than 15 years","Number","Total","264",""
