"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Czechia","Total","Age reached during the year","From 5 to 9 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 5 to 9 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 10 to 14 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 10 to 14 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 10 to 14 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 40 to 44 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 40 to 44 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 40 to 44 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 45 to 49 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 45 to 49 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 45 to 49 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 50 to 54 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 50 to 54 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 50 to 54 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 55 to 59 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 55 to 59 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 55 to 59 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 60 to 64 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 60 to 64 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 60 to 64 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","From 65 to 69 years","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","From 65 to 69 years","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","From 65 to 69 years","Number","Females",":",""
"2007","Czechia","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2007","Czechia","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2007","Czechia","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2007","Denmark","Total","Age reached during the year","Total","Number","Total","41,566",""
"2007","Denmark","Total","Age reached during the year","Total","Number","Males","22,008",""
"2007","Denmark","Total","Age reached during the year","Total","Number","Females","19,558",""
"2007","Denmark","Total","Age reached during the year","Less than 5 years","Number","Total","2,739",""
"2007","Denmark","Total","Age reached during the year","Less than 5 years","Number","Males","1,421",""
"2007","Denmark","Total","Age reached during the year","Less than 5 years","Number","Females","1,318",""
"2007","Denmark","Total","Age reached during the year","From 5 to 9 years","Number","Total","1,853",""
"2007","Denmark","Total","Age reached during the year","From 5 to 9 years","Number","Males","953",""
"2007","Denmark","Total","Age reached during the year","From 5 to 9 years","Number","Females","900",""
"2007","Denmark","Total","Age reached during the year","From 10 to 14 years","Number","Total","1,278",""
"2007","Denmark","Total","Age reached during the year","From 10 to 14 years","Number","Males","647",""
"2007","Denmark","Total","Age reached during the year","From 10 to 14 years","Number","Females","631",""
"2007","Denmark","Total","Age reached during the year","Less than 15 years","Number","Total","5,870",""
"2007","Denmark","Total","Age reached during the year","Less than 15 years","Number","Males","3,021",""
"2007","Denmark","Total","Age reached during the year","Less than 15 years","Number","Females","2,849",""
"2007","Denmark","Total","Age reached during the year","From 15 to 19 years","Number","Total","2,743",""
"2007","Denmark","Total","Age reached during the year","From 15 to 19 years","Number","Males","1,143",""
"2007","Denmark","Total","Age reached during the year","From 15 to 19 years","Number","Females","1,600",""
"2007","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Total","35,120",""
"2007","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Males","18,631",""
"2007","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Females","16,489",""
"2007","Denmark","Total","Age reached during the year","From 20 to 24 years","Number","Total","10,157",""
"2007","Denmark","Total","Age reached during the year","From 20 to 24 years","Number","Males","4,692",""
"2007","Denmark","Total","Age reached during the year","From 20 to 24 years","Number","Females","5,465",""
"2007","Denmark","Total","Age reached during the year","From 25 to 29 years","Number","Total","8,020",""
"2007","Denmark","Total","Age reached during the year","From 25 to 29 years","Number","Males","4,297",""
"2007","Denmark","Total","Age reached during the year","From 25 to 29 years","Number","Females","3,723",""
