"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Czechia","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Austria","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Poland","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Portugal","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Romania","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Finland","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Sweden","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Norway","Age reached during the year","Total","Number","Total",":",""
"2011","Czechia","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Total","41,593",""
"2011","Denmark","Belgium","Age reached during the year","Total","Number","Total","317",""
"2011","Denmark","Bulgaria","Age reached during the year","Total","Number","Total","292",""
"2011","Denmark","Czechia","Age reached during the year","Total","Number","Total","246",""
"2011","Denmark","Denmark","Age reached during the year","Total","Number","Total","0",""
"2011","Denmark","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","3,178",""
"2011","Denmark","Estonia","Age reached during the year","Total","Number","Total","145",""
"2011","Denmark","Ireland","Age reached during the year","Total","Number","Total","146",""
"2011","Denmark","Greece","Age reached during the year","Total","Number","Total","169",""
"2011","Denmark","Spain","Age reached during the year","Total","Number","Total","1,297",""
"2011","Denmark","France","Age reached during the year","Total","Number","Total","1,289",""
"2011","Denmark","Croatia","Age reached during the year","Total","Number","Total","17",""
"2011","Denmark","Italy","Age reached during the year","Total","Number","Total","753",""
"2011","Denmark","Cyprus","Age reached during the year","Total","Number","Total","11",""
"2011","Denmark","Latvia","Age reached during the year","Total","Number","Total","413",""
"2011","Denmark","Lithuania","Age reached during the year","Total","Number","Total","748",""
"2011","Denmark","Luxembourg","Age reached during the year","Total","Number","Total","78",""
"2011","Denmark","Hungary","Age reached during the year","Total","Number","Total","333",""
"2011","Denmark","Netherlands","Age reached during the year","Total","Number","Total","656",""
"2011","Denmark","Austria","Age reached during the year","Total","Number","Total","268",""
"2011","Denmark","Poland","Age reached during the year","Total","Number","Total","1,992",""
"2011","Denmark","Portugal","Age reached during the year","Total","Number","Total","179",""
"2011","Denmark","Romania","Age reached during the year","Total","Number","Total","720",""
