"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Bulgaria","Russia","Age reached during the year","Total","Number","Total","33",""
"2007","Bulgaria","Africa","Age reached during the year","Total","Number","Total","15",""
"2007","Bulgaria","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Bulgaria","United States","Age reached during the year","Total","Number","Total","211",""
"2007","Bulgaria","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Bulgaria","South America","Age reached during the year","Total","Number","Total",":",""
"2007","Bulgaria","Asia","Age reached during the year","Total","Number","Total","27",""
"2007","Bulgaria","Oceania","Age reached during the year","Total","Number","Total","5",""
"2007","Czechia","Total","Age reached during the year","Total","Number","Total","20,500",""
"2007","Czechia","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Czechia","Belgium","Age reached during the year","Total","Number","Total","12",""
"2007","Czechia","Bulgaria","Age reached during the year","Total","Number","Total","549",""
"2007","Czechia","Czechia","Age reached during the year","Total","Number","Total","0",""
"2007","Czechia","Denmark","Age reached during the year","Total","Number","Total","8",""
"2007","Czechia","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","201",""
"2007","Czechia","Estonia","Age reached during the year","Total","Number","Total","1",""
"2007","Czechia","Ireland","Age reached during the year","Total","Number","Total","4",""
"2007","Czechia","Greece","Age reached during the year","Total","Number","Total","11",""
"2007","Czechia","Spain","Age reached during the year","Total","Number","Total","5",""
"2007","Czechia","France","Age reached during the year","Total","Number","Total","45",""
"2007","Czechia","Croatia","Age reached during the year","Total","Number","Total","63",""
"2007","Czechia","Italy","Age reached during the year","Total","Number","Total","29",""
"2007","Czechia","Cyprus","Age reached during the year","Total","Number","Total","0",""
"2007","Czechia","Latvia","Age reached during the year","Total","Number","Total","2",""
"2007","Czechia","Lithuania","Age reached during the year","Total","Number","Total","6",""
"2007","Czechia","Luxembourg","Age reached during the year","Total","Number","Total","0",""
"2007","Czechia","Hungary","Age reached during the year","Total","Number","Total","7",""
"2007","Czechia","Malta","Age reached during the year","Total","Number","Total","0",""
"2007","Czechia","Netherlands","Age reached during the year","Total","Number","Total","25",""
